date,open,high,low,close,volume
2026-01-28,58.5,58.5,58.5,58.5,0
2026-01-29,58.5,58.5,58.5,58.5,0
2026-01-30,58.5,58.5,58.5,58.5,0
2026-02-02,58.5,58.5,58.5,58.5,0
2026-02-03,58.5,58.5,58.5,58.5,0
2026-02-04,58.5,58.5,58.5,58.5,0
2026-02-05,58.5,58.5,58.5,58.5,0
2026-02-06,58.5,58.5,58.5,58.5,0
2026-02-09,58.5,58.5,58.5,58.5,0
2026-02-10,58.5,58.5,58.5,58.5,0
2026-02-11,58.5,58.5,58.5,58.5,0
2026-02-12,58.5,58.5,58.5,58.5,0
2026-02-13,58.5,58.5,58.5,58.5,0
2026-02-18,58.5,58.5,58.5,58.5,0
2026-02-19,58.5,58.5,58.5,58.5,0
2026-02-20,58.5,58.5,58.5,58.5,0
2026-02-23,58.5,58.5,58.5,58.5,0
2026-02-24,58.5,58.5,58.5,58.5,0
2026-02-25,58.5,58.5,58.5,58.5,0
2026-02-26,58.5,58.5,58.5,58.5,0
2026-02-27,58.5,58.5,58.5,58.5,0
2026-03-02,58.5,58.5,58.5,58.5,0
2026-03-03,58.5,58.5,58.5,58.5,0
2026-03-04,58.5,58.5,58.5,58.5,0
2026-03-05,58.5,58.5,58.5,58.5,0
2026-03-06,58.5,58.5,58.5,58.5,0
