date,open,high,low,close,volume
2026-04-06,9.7107,9.7107,9.6514,9.6613,520547
2026-04-07,9.6712,9.6909,9.6416,9.6811,388356
2026-04-08,9.6811,9.7107,9.6712,9.7008,635501
2026-04-09,9.7008,9.7107,9.6811,9.6909,446310
2026-04-10,9.7107,9.8291,9.6909,9.76,819635
2026-04-13,9.7699,9.8093,9.7304,9.76,608705
2026-04-14,9.76,9.76,9.73,9.74,342254
