date,open,high,low,close,volume
2026-04-06,108.33,108.92,108.0,108.51,28322
2026-04-07,108.5,108.86,108.19,108.35,33680
2026-04-08,108.5,108.82,108.07,108.32,50922
2026-04-09,108.32,108.5,108.0,108.2,36622
2026-04-10,108.08,108.92,108.08,108.6,26749
2026-04-13,108.6,108.89,108.36,108.5,26108
2026-04-14,108.75,109.39,108.47,109.23,22679
