date,open,high,low,close,volume
2026-04-06,114.98,115.58,114.56,114.79,83695
2026-04-07,115.0,115.58,114.65,115.0,51906
2026-04-08,115.2,115.54,114.92,115.23,43297
2026-04-09,115.39,117.6,114.49,115.0,62451
2026-04-10,115.01,115.88,113.85,114.99,109697
2026-04-13,114.91,115.7,113.9,114.7,294388
2026-04-14,114.7,115.04,113.6,115.0,55377
