date,open,high,low,close,volume
2026-04-06,75.99,75.99,75.36,75.59,22372
2026-04-07,75.87,75.99,75.6,75.76,11446
2026-04-08,75.89,76.2,75.73,75.95,12746
2026-04-09,76.0,76.05,75.84,75.95,12297
2026-04-10,76.2,76.2,75.97,76.12,7077
2026-04-13,76.13,76.18,76.05,76.16,10094
2026-04-14,76.25,76.89,76.16,76.81,23140
